지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최다풍향(16방위),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C)
93,북춘천,Oct-16,14.1,20.9,8.6,29,-1.9,74,112.1,39,20.5,0.9,6,70,185.3,53.29,381.67,15.7
93,북춘천,Nov-16,5.1,11.2,-0.5,19.5,-9.1,71,13.2,5.5,,0.9,5.5,50,147.4,48.44,259.88,6.2
93,북춘천,Dec-16,-0.2,5.3,-5,10.2,-12.1,74,83.1,49,,0.8,6.4,230,142.3,47.8,204.42,0.6
93,북춘천,Jan-17,-3.4,3.3,-9.8,11.6,-17,66,15.9,7.1,,1.1,7.7,50,204.2,66.6,286.3,-1.9
93,북춘천,Feb-17,-1.5,5.4,-8.2,12.2,-15.7,64,11,3.5,,1.2,6.5,50,214.9,71.04,356.79,-0.4
93,북춘천,Mar-17,4.6,12.2,-2.3,19,-8.3,59,17.9,11.5,,1.3,7,230,212.4,57.24,436.28,5.8
93,북춘천,Apr-17,13.2,21,5.6,29.1,-0.8,55,54.1,21,5,1.9,8.7,230,257.3,65.01,560.07,15
93,북춘천,May-17,18.6,26.2,11.3,30.7,6.7,56,25.5,10.5,10.5,1.8,9.4,230,280.1,63.49,645.7,21.8
93,북춘천,Jun-17,22.3,29.6,15.8,35,9.2,59,38.1,14.5,5.5,1.5,7,230,271.2,61.23,656.82,26.7
93,북춘천,Jul-17,26.3,30.7,23,34.9,19.4,78,477.8,146.5,31,1,7.4,230,126.4,28.13,421.28,28.4
93,북춘천,Aug-17,24.4,29.6,20.5,37.5,13.9,76,376.3,89,66.5,1.1,6.4,90,150.3,35.65,438.14,27.2
93,북춘천,Sep-17,19.1,26.5,13,30.5,4.9,74,33.8,17,16.5,1.1,6.2,230,220.3,59.06,480.31,22.6
93,북춘천,Oct-17,13.5,21,7.7,26.9,-3.7,74,42.6,22.5,7,1.1,5.9,360,196.9,56.61,366.06,15.7
93,북춘천,Nov-17,3.2,9.9,-3,18.8,-10.2,67,15.9,6.9,,1.2,8,20,185.3,60.83,267.52,4.6
93,북춘천,Dec-17,-4.3,1.5,-10.3,8.6,-19,67,24.5,10.4,,1.2,7.2,20,183.8,61.72,248.12,-1.3
93,북춘천,Jan-18,-6,0.6,-11.8,8.6,-21.7,60,6.5,3.7,,1.3,8.4,20,203,66.23,297.61,-3.4
93,북춘천,Feb-18,-3.4,3.6,-10.3,10.4,-19.2,53,33,28.5,,1.5,7.5,200,214.2,70.86,345.45,-2.2
93,북춘천,Mar-18,7,13.8,0.2,23.4,-8.2,61,32,11,,1.8,8.8,50,204.3,55.07,434.45,7.5
93,북춘천,Apr-18,12,19.5,4.9,29.2,-3,60,117.2,46.5,8,1.9,8.7,200,218.7,55.3,505.89,14
93,북춘천,May-18,17.2,23.9,10.8,31,2.9,66,200.5,97,26.5,1.7,8.3,200,233.2,52.89,577.58,20.2
