지점,지점명,일시,합계 일사량(MJ/m2),평균지면온도(°C)
93,북춘천,2016-10,381.67,15.7
93,북춘천,2016-11,259.88,6.2
93,북춘천,2016-12,204.42,.6
93,북춘천,2017-01,286.3,-1.9
93,북춘천,2017-02,356.79,-.4
93,북춘천,2017-03,436.28,5.8
93,북춘천,2017-04,560.07,15
93,북춘천,2017-05,645.7,21.8
93,북춘천,2017-06,656.82,26.7
93,북춘천,2017-07,421.28,28.4
93,북춘천,2017-08,438.14,27.2
93,북춘천,2017-09,480.31,22.6
93,북춘천,2017-10,366.06,15.7
93,북춘천,2017-11,267.52,4.6
93,북춘천,2017-12,248.12,-1.3
93,북춘천,2018-01,297.61,-3.4
93,북춘천,2018-02,345.45,-2.2
93,북춘천,2018-03,434.45,7.5
93,북춘천,2018-04,505.89,14
93,북춘천,2018-05,577.58,20.2
93,북춘천,2018-06,628.31,28.4
93,북춘천,2018-07,520.07,
93,북춘천,2018-08,464.48,31.7
93,북춘천,2018-09,397.14,22.8
93,북춘천,2018-10,314.48,12.8
93,북춘천,2018-11,206.42,6.4
93,북춘천,2018-12,216.07,-1.7
93,북춘천,2019-01,251.44,-3.3
93,북춘천,2019-02,324.29,.7
93,북춘천,2019-03,431.23,6.3
93,북춘천,2019-04,525.84,13.2
93,북춘천,2019-05,742.98,23.2
93,북춘천,2019-06,652.98,26.4
93,북춘천,2019-07,494.97,28.6
93,북춘천,2019-08,583.7,29.4
93,북춘천,2019-09,395.49,23.7
93,북춘천,2019-10,372.17,16.5
93,북춘천,2019-11,272.42,6.4
93,북춘천,2019-12,217.32,.4
93,북춘천,2020-01,278.76,0
93,북춘천,2020-02,331.85,2.6
93,북춘천,2020-03,509.82,8.7
93,북춘천,2020-04,605.88,14.2
93,북춘천,2020-05,583.23,21.5
93,북춘천,2020-06,650.42,30.1
93,북춘천,2020-07,511.36,26.5
93,북춘천,2020-08,356.98,27.1
93,북춘천,2020-09,421.25,21.4
93,북춘천,2020-10,420.29,14.6
93,북춘천,2020-11,287.49,6.9
93,북춘천,2020-12,268.95,-2.2
93,북춘천,2021-01,274.71,-3.6
93,북춘천,2021-02,366.24,1.3
93,북춘천,2021-03,471.84,8.9
93,북춘천,2021-04,564.07,15.5
93,북춘천,2021-05,569.66,18.8
93,북춘천,2021-06,599.05,24.8
93,북춘천,2021-07,697.93,32.2
93,북춘천,2021-08,480.64,28.1
93,북춘천,2021-09,464.07,23.5
93,북춘천,2021-10,342.76,15
93,북춘천,2021-11,271.29,5.7
93,북춘천,2021-12,252.38,-1.1
93,북춘천,2022-01,314.35,-3.7
93,북춘천,2022-02,380.96,-1.6
93,북춘천,2022-03,427.61,6.4
93,북춘천,2022-04,620.33,16.5
93,북춘천,2022-05,716.21,22.7
93,북춘천,2022-06,497.81,24.8
93,북춘천,2022-07,582.61,29.8
93,북춘천,2022-08,421.2,27.3
93,북춘천,2022-09,496.4,23.4
93,북춘천,2022-10,382.09,14
93,북춘천,2022-11,275.44,7.5
93,북춘천,2022-12,275.54,-2.5
93,북춘천,2023-01,286.03,-2.6
93,북춘천,2023-02,355.77,.4
93,북춘천,2023-03,513.1,8.9
93,북춘천,2023-04,493.38,14.4
93,북춘천,2023-05,663.67,22
93,북춘천,2023-06,628.49,26.9
93,북춘천,2023-07,541.12,29
93,북춘천,2023-08,513.58,30.1
93,북춘천,2023-09,438.78,25.4
98,동두천,2014-01,,-1.1
98,동두천,2014-02,,1.9
98,동두천,2014-03,,9.1
98,동두천,2014-04,,16.6
98,동두천,2014-05,,22.3
98,동두천,2014-06,,25.6
98,동두천,2014-07,,29.4
98,동두천,2014-08,,26.8
98,동두천,2014-09,,23.5
98,동두천,2014-10,,15.6
98,동두천,2014-11,,7.3
98,동두천,2014-12,,-2.5
98,동두천,2015-01,,-1.5
98,동두천,2015-02,,.5
98,동두천,2015-03,0,6.4
98,동두천,2015-04,,14.2
98,동두천,2015-05,,22.6
98,동두천,2015-06,,27.6
98,동두천,2015-07,,27.4
98,동두천,2015-08,,27.8
98,동두천,2015-09,,24
98,동두천,2015-10,,15.6
98,동두천,2015-11,,8.6
98,동두천,2015-12,,.8
98,동두천,2016-01,,-3
98,동두천,2016-02,,.5
98,동두천,2016-03,,8
98,동두천,2016-04,,16
98,동두천,2016-05,,22.1
98,동두천,2016-06,,27.7
98,동두천,2016-07,,28.4
98,동두천,2016-08,,31.9
98,동두천,2016-09,,25.8
98,동두천,2016-10,,15.7
98,동두천,2016-11,,6.2
98,동두천,2016-12,,.3
98,동두천,2017-01,,-1.8
98,동두천,2017-02,,0
98,동두천,2017-03,,6.6
98,동두천,2017-04,,16.2
98,동두천,2017-05,,24.4
98,동두천,2017-06,,29.3
98,동두천,2017-07,,28.6
98,동두천,2017-08,,27.9
98,동두천,2017-09,,23.9
98,동두천,2017-10,,16.5
98,동두천,2017-11,,5.5
98,동두천,2017-12,,-1.5
98,동두천,2018-01,,-2.9
98,동두천,2018-02,,-1.6
98,동두천,2018-03,,8.3
98,동두천,2018-04,,14.5
98,동두천,2018-05,,20.8
98,동두천,2018-06,,27.3
98,동두천,2018-07,,30.7
98,동두천,2018-08,,33
98,동두천,2018-09,,22.7
98,동두천,2018-10,,13.4
98,동두천,2018-11,,6.1
98,동두천,2018-12,,-1.2
98,동두천,2019-01,,-2.3
98,동두천,2019-02,,.3
98,동두천,2019-03,,6.4
98,동두천,2019-04,,13.6
98,동두천,2019-05,,24.6
98,동두천,2019-06,,27.3
98,동두천,2019-07,,28.2
98,동두천,2019-08,,28.5
98,동두천,2019-09,,23.2
98,동두천,2019-10,,16
98,동두천,2019-11,,6.4
98,동두천,2019-12,,.4
98,동두천,2020-01,,-.3
98,동두천,2020-02,,2.4
98,동두천,2020-03,,7.2
98,동두천,2020-04,,13
98,동두천,2020-05,,20.9
98,동두천,2020-06,,29.9
98,동두천,2020-07,,26.4
98,동두천,2020-08,,27.5
98,동두천,2020-09,,22.8
98,동두천,2020-10,,15.1
98,동두천,2020-11,,6.5
98,동두천,2020-12,,-1.1
98,동두천,2021-01,,-3.1
98,동두천,2021-02,,2.3
98,동두천,2021-03,,10.2
98,동두천,2021-04,,15.7
98,동두천,2021-05,,19.3
98,동두천,2021-06,,25.9
98,동두천,2021-07,,32.2
98,동두천,2021-08,,28.5
98,동두천,2021-09,,23.7
98,동두천,2021-10,261.64,15.8
98,동두천,2021-11,258.11,6.6
98,동두천,2021-12,248.82,-.5
98,동두천,2022-01,291.73,-3.2
98,동두천,2022-02,358.65,-1.3
98,동두천,2022-03,420.72,6.6
98,동두천,2022-04,597.77,17.9
98,동두천,2022-05,715.03,24.4
98,동두천,2022-06,457.51,24.8
98,동두천,2022-07,534.41,29.1
98,동두천,2022-08,419.33,27.2
98,동두천,2022-09,483.74,23.3
98,동두천,2022-10,390.33,15.4
98,동두천,2022-11,275.56,9.3
98,동두천,2022-12,260.87,-1.1
98,동두천,2023-01,273.05,-1.1
98,동두천,2023-02,344.61,1.7
98,동두천,2023-03,490.39,8.8
98,동두천,2023-04,478.86,14.2
98,동두천,2023-05,640.74,21.6
98,동두천,2023-06,575.76,25.8
98,동두천,2023-07,509.53,28.5
98,동두천,2023-08,470.93,29.1
